Género	Unisex
Material del marco	Acero
Número de cambios	21
Tipo de freno	Disco mecánico delantero y trasero
Suspensión	Delantera
Rin	24 pulgadas
Marca	Mountain Gear
Modelo	VULTURE 24 V.21
Descripción de freno	Disco Doble
Tipo	Bicicletas de montaña
Descripción de marco	Acero
Cambio delantero	3
Cambio trasero	7
Biela	Acero
Descripción de biela	Acero
Piñón	Acero
Descripción de piñon	Acero
Manubrio	Acero
Descripción de manubrio	No aplica
Descripción de suspensión	Suspension delantera
Recorrido de la suspensión delantera	85 mm
Horquilla	Acero
Pedal	Plástico
Asiento	Tipo MTB
Neumáticos	Estandar
Llantas	Estandar
Rayos	Acero
Peso del producto	18 kg
precio $ 499.990
